State,State_Abbreviation,Year,EduLevel,EduLevelCode,Births
Alaska,AK,2016,8th grade or less,1,76
Alaska,AK,2016,9th through 12th grade with no diploma,2,1050
Alaska,AK,2016,"Associate degree (AA, AS)",5,906
Alaska,AK,2016,"Bachelor's degree (BA, AB, BS)",6,1848
Alaska,AK,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,187
Alaska,AK,2016,High school graduate or GED completed,3,3346
Alaska,AK,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,719
Alaska,AK,2016,"Some college credit, but not a degree",4,2911
Alaska,AK,2016,Unknown or Not Stated,-9,166
Alaska,AK,2017,8th grade or less,1,88
Alaska,AK,2017,9th through 12th grade with no diploma,2,942
Alaska,AK,2017,"Associate degree (AA, AS)",5,844
Alaska,AK,2017,"Bachelor's degree (BA, AB, BS)",6,1722
Alaska,AK,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,185
Alaska,AK,2017,High school graduate or GED completed,3,3097
Alaska,AK,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,688
Alaska,AK,2017,"Some college credit, but not a degree",4,2723
Alaska,AK,2017,Unknown or Not Stated,-9,156
Alaska,AK,2018,8th grade or less,1,63
Alaska,AK,2018,9th through 12th grade with no diploma,2,880
Alaska,AK,2018,"Associate degree (AA, AS)",5,838
Alaska,AK,2018,"Bachelor's degree (BA, AB, BS)",6,1737
Alaska,AK,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,209
Alaska,AK,2018,High school graduate or GED completed,3,3021
Alaska,AK,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,643
Alaska,AK,2018,"Some college credit, but not a degree",4,2556
Alaska,AK,2018,Unknown or Not Stated,-9,139
Alaska,AK,2019,8th grade or less,1,68
Alaska,AK,2019,9th through 12th grade with no diploma,2,830
Alaska,AK,2019,"Associate degree (AA, AS)",5,776
Alaska,AK,2019,"Bachelor's degree (BA, AB, BS)",6,1675
Alaska,AK,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,221
Alaska,AK,2019,High school graduate or GED completed,3,3001
Alaska,AK,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,636
Alaska,AK,2019,"Some college credit, but not a degree",4,2446
Alaska,AK,2019,Unknown or Not Stated,-9,169
Alaska,AK,2020,8th grade or less,1,53
Alaska,AK,2020,9th through 12th grade with no diploma,2,735
Alaska,AK,2020,"Associate degree (AA, AS)",5,813
Alaska,AK,2020,"Bachelor's degree (BA, AB, BS)",6,1579
Alaska,AK,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,230
Alaska,AK,2020,High school graduate or GED completed,3,2994
Alaska,AK,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,612
Alaska,AK,2020,"Some college credit, but not a degree",4,2300
Alaska,AK,2020,Unknown or Not Stated,-9,153
Alaska,AK,2021,8th grade or less,1,60
Alaska,AK,2021,9th through 12th grade with no diploma,2,712
Alaska,AK,2021,"Associate degree (AA, AS)",5,752
Alaska,AK,2021,"Bachelor's degree (BA, AB, BS)",6,1697
Alaska,AK,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,219
Alaska,AK,2021,High school graduate or GED completed,3,2848
